Date,ETH_Close,ETH_Volume,Log return ETH,Number of sales in all segments,Active market wallets in all segments,Average USD,Sales USD
2022-03-28,3336.634521,20620450770,0.005904535655,44276,32905,1163.17,51500724.26
2022-03-29,3401.987793,19533323636,0.008424112228,33213,29898,1388.3,46109467.89
2022-03-30,3385.157959,15302506131,-0.002153812305,31266,24439,1948.14,60910518.86
2022-03-31,3281.642822,17685495686,-0.01348762849,23481,23343,3451.24,81038523.19
2022-04-01,3449.552246,20982988937,0.02167141689,21343,20812,4142.17,88406243.57
2022-04-02,3445.059326,23571556215,-0.00056602192,26530,24506,4139.85,109830226.6
2022-04-03,3522.833496,15333808649,0.009695411953,45028,32547,2859.89,128775236.8
2022-04-04,3521.241211,18209969743,-0.0001963410752,38610,30428,2572.59,99327562.11
2022-04-05,3411.79248,16681503199,-0.01371316837,29590,27706,2539.72,75150229.51
2022-04-06,3171.691895,25632563639,-0.03169161524,59493,47876,948.62,56436373.01
2022-04-07,3233.274658,16745496605,0.008351605938,54353,46348,1259.14,68438043.81
2022-04-08,3192.073975,17557050669,-0.005569650938,43451,38577,1048.86,45574094.21
2022-04-09,3261.91626,9908112156,0.009399860237,38441,33400,1315.49,50568591.73
2022-04-10,3211.866943,10427054790,-0.006715262029,38155,30648,1207.68,46078843.22
2022-04-11,2981.052246,21891804831,-0.03238795804,38308,30780,1180.89,45237718.53
2022-04-12,3030.376465,20235707410,0.007126996892,30967,28175,1423.06,44068027.73
2022-04-13,3118.344238,16088473629,0.01242747137,37062,31592,1570.56,58207949.32
2022-04-14,3019.909424,15821419931,-0.01393013844,43575,34233,1291.97,56297506.04
2022-04-15,3040.916504,11256651536,0.003010578283,35700,30763,1312.2,46845631.9
2022-04-16,3062.310303,8766710365,0.003044699862,43957,36634,4781.62,210185589.3
2022-04-17,2993.40332,10463091281,-0.009883959522,33249,28074,3417.73,113636143.6
2022-04-18,3057.606689,18629381299,0.009216383799,38669,32460,2651.98,102549364.6
2022-04-19,3104.106445,14156035096,0.006554985725,37630,32843,2624.85,98772954.38
2022-04-20,3077.74585,15547362265,-0.003703851141,32189,29460,2984.58,96070627.45
2022-04-21,2987.480713,20783591093,-0.0129276442,33667,29379,3062.68,103111090.8
2022-04-22,2964.835693,16782795477,-0.003304479804,39121,32878,2184.5,85459763.95
2022-04-23,2938.114014,9116955609,-0.003931985731,45288,34067,1953.52,88470966.94
2022-04-24,2922.732666,9696829579,-0.002279551151,43899,33747,2303.12,101104669.4
2022-04-25,3009.393555,22332690614,0.01268989304,42661,36478,2533.64,108087417.2
2022-04-26,2808.29834,19052045399,-0.03003574329,60018,41476,1712.09,102755977.3
2022-04-27,2888.929688,17419284041,0.01229372868,60046,42942,1353.11,81248976.63
2022-04-28,2936.940918,18443524633,0.007158238045,61689,42359,1516.63,93559166.23
2022-04-29,2815.601807,18771041399,-0.01832397472,41209,31275,2163.3,89147280.46
2022-04-30,2730.186768,13520941867,-0.01337887776,52808,34564,1855.98,98010546.87
2022-05-01,2827.756104,15332730152,0.01524959103,120294,68540,6728.63,809413817.9
2022-05-02,2857.4104,18609741545,0.004530672553,109711,49923,2619.41,287378197
2022-05-03,2783.476318,13026093219,-0.01138509043,84575,43732,1716.44,145167991.1
2022-05-04,2940.644775,18186749944,0.02385503497,55475,37326,2893.93,160540965.5
2022-05-05,2749.213135,22642925048,-0.02923415544,64145,40772,3091.5,198304124.4
2022-05-06,2694.979736,21027599270,-0.008652906181,56402,38398,2209.34,124611195.4
2022-05-07,2636.093018,13369276367,-0.00959477316,52878,34520,1774.74,93844548.28
2022-05-08,2517.459961,20802269935,-0.01999815881,39607,26354,1431.82,56709921.54
2022-05-09,2245.43042,36333567678,-0.04966297007,41278,30210,2010.61,82993936.44
2022-05-10,2343.510986,38202099639,0.0185673918,43526,34946,2987.46,130031993
2022-05-11,2072.108643,45743399154,-0.05345447154,29983,23214,2586.15,77540658.44
2022-05-12,1961.701538,42463486402,-0.02377958965,28193,22577,2257.47,63644905.94
2022-05-13,2014.418213,24816096567,0.0115167068,30736,25481,2557.08,78594545.14
2022-05-14,2056.273926,15457044616,0.008931329227,29803,23344,2155.83,64250147.3
2022-05-15,2145.706787,14846088335,0.0184894063,26137,20186,1359.99,35546036.71
2022-05-16,2022.725952,21459552191,-0.02563332832,26357,20775,1272.39,33536374.64
2022-05-17,2090.40918,18509929297,0.01429425733,26262,21493,1291.55,33918700.48
2022-05-18,1916.656128,17740965589,-0.0376871019,35509,27882,1194.83,42427321.14
2022-05-19,2018.336182,18734247914,0.0224493037,35018,25048,1069.57,37454097.99
2022-05-20,1961.315674,15892482289,-0.01244600668,49864,31551,978.6,48796853.82
2022-05-21,1974.518311,8546822406,0.002913666544,42621,28361,752.26,32062045.6
2022-05-22,2043.170166,10941123403,0.01484337289,40330,28830,856.04,34523974.6
2022-05-23,1972.181885,16434529708,-0.0153575731,30242,23005,1111.73,33620876.8
2022-05-24,1978.982788,13057109007,0.001495051614,26595,20183,1085.61,28871681.86
2022-05-25,1944.827881,13364545730,-0.007560845077,48442,28886,719.77,34867306.16
2022-05-26,1803.91333,23458681818,-0.03266550412,37576,27821,1159.23,43559273.77
2022-05-27,1724.922852,25470760032,-0.01944599198,30338,23977,1196.4,36296338.56
2022-05-28,1757.941772,23214777872,0.0082348101,29802,23106,900.49,26836353.88
2022-05-29,1812.031006,10642556101,0.01316113878,26498,20736,1088.81,28851236.62
2022-05-30,1996.441284,19580808705,0.04209091728,22502,18363,1356.66,30527470.28
2022-05-31,1942.328003,18363115560,-0.01193397044,33575,24132,1297.04,43548125.6
2022-06-01,1823.569336,21037797760,-0.02740029077,26492,21053,1581.35,41893214.48
2022-06-02,1834.150513,17065041354,0.002512690852,28353,23499,1149.39,32588603.27
2022-06-03,1775.078613,14878001811,-0.01421738018,58399,35014,696.1,40651420.87
2022-06-04,1801.609497,8677951273,0.006443071077,30050,23315,1144.93,34405192.19
2022-06-05,1805.204956,8850385937,0.0008658546433,39859,28191,835.53,33303463.75
2022-06-06,1859.289673,16518471852,0.01282053995,31944,26310,1141.05,36449853.37
2022-06-07,1814.04834,24020076750,-0.01069820134,36703,27819,1130.47,41491741.15
2022-06-08,1793.572266,18041476023,-0.004929975966,33499,25960,1327.3,44463071.74
2022-06-09,1789.82605,12013083393,-0.0009080550841,24536,20988,1377.63,33801621.16
2022-06-10,1665.042236,18504740451,-0.03138557029,23381,19719,1459.37,34121517.79
2022-06-11,1529.663452,21127089064,-0.03682936415,21858,18123,1570.4,34325855.37
2022-06-12,1445.216553,23465074882,-0.0246629631,20831,17782,1553.78,32366787.83
2022-06-13,1204.582764,45162788786,-0.07909628249,22609,19885,1744.62,39444207.62
2022-06-14,1211.662842,33327826525,0.002545144914,26026,21811,1524.22,39669424.17
2022-06-15,1233.206421,37539999450,0.007653987716,25881,21477,1230.22,31839276.06
2022-06-16,1067.730713,18907671369,-0.06257404205,21597,18961,1371.96,29630161.63
2022-06-17,1086.519287,14591486540,0.007575704692,24266,20001,1091.38,26483448.35
